id;birth;nationality;vegan;vegetarian;celiac
1;2019-12-01;Directives application Home Loan Account;false;false;false
2;2019-12-02;Trace;false;true;false
3;2019-12-01;Movies Producer;true;true;false
4;2019-12-02;Officer;true;false;true
5;2019-12-01;web-readiness;false;true;true
6;2019-12-01;Gorgeous Frozen Pants;false;false;false
7;2019-12-01;grey Cambridgeshire;true;false;false
8;2019-12-01;Yuan Renminbi Centers;false;true;true
9;2019-12-01;cross-platform access;false;false;true
10;2019-12-02;Bahamian Dollar Investment Account;true;false;false
