id;jhi_start;jhi_end;amount;pervent_value;condition;free;jhi_type
1;2019-12-08;2019-12-08;96958;85;77513;44975;PERCENT_DISCOUNT
2;2019-12-08;2019-12-08;57044;19;52083;4522;PERCENT_DISCOUNT
3;2019-12-07;2019-12-07;35675;97;28093;60703;PERCENT_DISCOUNT
4;2019-12-08;2019-12-08;1563;99;42340;77224;K_FOR_N
5;2019-12-07;2019-12-08;70685;71;72900;79017;PERCENT_DISCOUNT
6;2019-12-07;2019-12-07;85003;62;44945;33089;PERCENT_DISCOUNT
7;2019-12-08;2019-12-07;72960;59;63755;27472;K_FOR_N
8;2019-12-07;2019-12-07;72172;56;23598;77096;SIMPLE_DISCOUNT
9;2019-12-07;2019-12-07;42754;11;2541;43933;PERCENT_DISCOUNT
10;2019-12-07;2019-12-07;47537;31;56327;50857;PERCENT_DISCOUNT
