id;assunzione;giorni_alla_scadenza;avvertenze
1;Virginia THX pink;27887;Saint Helena Pound programming
2;AI optical invoice;8413;Cheese Dynamic Home Loan Account
3;transform;94013;Supervisor clear-thinking
4;Latvia;69189;invoice Devolved
5;Computers Bedfordshire Fish;36646;program alarm
6;Nevada;9367;turn-key dedicated
7;Wisconsin;97889;Cambridgeshire Investor
8;cross-platform Borders;57690;Cambridgeshire white sensor
9;Alaska;76855;Intelligent Frozen Sausages Villages
10;Human;37015;Automotive Tactics architectures
