id;barcode;name;description;price;brand;amount;image_url;source;ingredients;conservation;preparation;nutrients
1;"3987583399733";Chilean Peso Unidades de fomento Handmade Legacy;../fake-data/blob/hipster.txt;92572;magenta Track;62989;Refined Metal Car;Centers Steel Credit Card Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;"4039549882563";green Credit Card Account;../fake-data/blob/hipster.txt;51217;intranet;48018;neutral;Rustic Concrete Car;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;"3904989358280";Human New Mexico Implementation;../fake-data/blob/hipster.txt;12092;Cape Verde;40746;Ethiopia;withdrawal Rubber;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;"8400228760267";Yuan Renminbi cross-platform Consultant;../fake-data/blob/hipster.txt;57905;Underpass virtual open-source;82676;Fantastic;Sleek Soft Sausages Practical;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;"3234380954600";AGP;../fake-data/blob/hipster.txt;9545;Brand;10526;Plastic convergence;back-end Automotive internet solution;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;"9775030608895";Industrial Rustic;../fake-data/blob/hipster.txt;25242;Taka;26210;wireless bypassing e-business;Computers Tuvalu Trinidad and Tobago Dollar;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;"9351931694379";Ramp;../fake-data/blob/hipster.txt;17338;B2C;79010;bypassing Berkshire non-volatile;Technician;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;"2831787613219";value-added;../fake-data/blob/hipster.txt;25664;Isle of Man Brunei Dollar;606;Congo;Engineer protocol;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;"5343116114557";Credit Card Account Representative;../fake-data/blob/hipster.txt;26850;Small Specialist;2131;Keyboard;Industrial;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;"5487092545988";deposit mint green time-frame;../fake-data/blob/hipster.txt;63521;redefine;85168;Nebraska web services;Future Regional transmitting;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
