id,barcode,name,description,price,brand,amount,image_url,source,ingredients,conservation,preparation,nutrients,discount_id,category_id
1,8001120931566, zuppa campagnola Biologica 150 g,"vivi verde, La linea vivi verde Coop comprende i prodotti biologici, sani e genuini grazie a un sistema di produzione che rispetta gli animali e l'ambiente, e prodotti non alimentari ecologici, realizzati con criteri sostenibili e di compatibilità ambientale., La linea Vivi Verde Coop propone zuppe a base di cereali, legumi e verdure preparate con materie prime provenienti esclusivamente da agricoltura biologica. Sono piatti leggeri e gustosi perfetti per chi ama la buona tavola ma può dedicare poco tempo alla cucina, fonte di proteine e di fibre e pertanto adatti anche per chi segue una dieta vegetariana e vegana., Per una dieta vegetariana, Con riso rosso, orzo e farro, - Fonte di proteine, - Ad alto contenuto di fibre, 3 Porzioni, Tempo di cottura 14 min, 150g",2.2,VIVI VERDE, ,http://www.catalogoprodotti.coop.it/medias/7234980-1409820-P.jpeg-300Wx300H?context=bWFzdGVyfHJvb3R8MTI1NTJ8aW1hZ2UvanBlZ3xoYzAvaGUzLzg4MzI1NTI0MzU3NDIuanBnfGU5MGI2NWQ4MDZkZWE3NTQ4NDcwYzFhMzE2NWVmNmI5ZmMyYmI1NzhhZGZhYzBlNmQ1NDFhNjc0NzA2ZDc0MmU,"Farro: Italia, Orzo: Italia, Riso: Italia","Cereali 61,3% (di cui riso rosso* 34,7%, orzo* 32,6%, farro* 32,6%), Ortaggi e verdure disidratate in proporzione variabile 12%: cavolo verza*, broccoli*, cipolla*, carota*, pomodoro*, aglio*, sedano*, basilico*, Farina di riso*, Fiocco di patata*, Piselli verdi*, Sale, Estratto di lievito*, Curcuma*, *Biologico","Suggerimenti per la conservazione, Conserva il prodotto in luogo fresco e asciutto.","Modalità di preparazione, Versa il contenuto della busta in 800 ml di acqua fredda in una casseruola antiaderente. Porta ad ebollizione. Quando bolle, cuoci per 14 minuti a fuoco basso. Aggiungi un cucchiaio di olio extra vergine di oliva a cottura ultimata.","Energia: 1399 kJ, Grassi: 332 kcal, di cui acidi grassi saturi: 166 kcal, Carboidrati: 1,5 g, di cui zuccheri: 0,8 g, Fibre: 0,3 g, Proteine: 0,2 g, Sale: 56,2 g", ,1
2,8001120936905, Polenta ai Formaggi 200 g,"La linea dei primi piatti Coop è prodotta secondo le più moderne tecnologie, a partire da materie prime accuratamente selezionate e lavorate. Questo ci consente di proporre ricette che valorizzino il sapore originale degli ingredienti senza conservanti né glutammato monosodico.Pronta in 3 minuti, Senza glutammato aggiunto, Senza olio di palma, 2/4 Porzioni, 200g",0.5,COOP, ,http://www.catalogoprodotti.coop.it/medias/7211782-1324908-P.jpg-300Wx300H?context=bWFzdGVyfHJvb3R8MTQzNzh8aW1hZ2UvanBlZ3xoZWEvaDEyLzg4NjE0ODY3MTA4MTQuanBnfGViNTVjNDgyM2U0MGU0OTc2MGU4NDRmNmE5NjY5NWYzNWU3ZTg5OWU2OGVjM2RlNTZiY2EzNjdlZTkwMTQ0YTM,,"Farina di mais precotta, Preparato per formaggio in polvere (16 %) (formaggio, siero di latte, caseinati (latte), sale, aromi), Latte scremato in polvere, Sale, Panna in polvere, Estratto di lievito, Cipolla disidratata in polvere, Aromi, Aglio disidratato (0,1 %)",Conservare in luogo fresco ed asciutto.,"2 Ricche porzioni come primo piatto oppure 4 porzioni come contorno, Modalità di preparazione, Porta ad ebollizione 750ml di acqua fredda in una casseruola (se vuoi una polenta più fragrante aggiungi un cucchiaio di olio extravergine di oliva). Quando l'acqua bolle, versa lentamente il contenuto della busta stemperandolo con una frusta., Cuoci per 3 minuti mescolando frequentemente. Se desideri una polenta più consistente prolunga la cottura di 1 o 2 minuti., Se desideri preparare 2 buste assieme, metti a bollire 1400ml di acqua e segui le stesse modalità di preparazione., Un suggerimento per personalizzare la tua ricetta: Se desideri un piatto più ricco, una volta pronta, servi la polenta con sopra delle fettine sottili di speck oppure con dei filetti di aringa o trota affumicata., Puoi anche riutilizzare la polenta eventualmente rimasta per preparare dei gustosi crostini, tagliando la polenta fredda a fette e friggendola o grigliandola.","Energia: 1365 kJ, Grassi: 4,2 g, di cui acidi grassi saturi: 1,7 g, Carboidrati: 56 g, di cui zuccheri: 11 g, Fibre: 6,9 g, Proteine: 12 g, Sale: 4,8 g", ,1
3,8001120931580, zuppa farro e legumi Biologica 150 g,"vivi verde, La linea vivi verde Coop comprende i prodotti biologici, sani e genuini grazie a un sistema di produzione che rispetta gli animali e l'ambiente, e prodotti non alimentari ecologici, realizzati con criteri sostenibili e di compatibilità ambientale., La linea Vivi Verde Coop propone zuppe a base di cereali, legumi e verdure preparate con materie prime provenienti esclusivamente da agricoltura biologica. Sono piatti leggeri e gustosi perfetti per chi ama la buona tavola ma può dedicare poco tempo alla cucina, fonte di proteine e di fibre e pertanto adatti anche per chi segue una dieta vegetariana e vegana., Per una dieta vegetariana, Con fagioli, lenticchie e piselli, - Fonte di proteine, - Ad alto contenuto di fibre, 3 Porzioni, Tempo di cottura 14 min, 150g",0.4,VIVI VERDE, ,http://www.catalogoprodotti.coop.it/medias/7234983-1409822-P.jpeg-300Wx300H?context=bWFzdGVyfHJvb3R8MTI5NDR8aW1hZ2UvanBlZ3xoMGQvaDVlLzg4MzI1NTU1ODE0NzAuanBnfDE3NWViZmQ0Nzg4ZWIwMzE5ZGJiYjgwM2FlMzk5NWVhNzM4ZjI0MjYwYWIwOGVhOGQxYjQxMmI3MTBmMWM4ZWI,"Fagioli: Germania, Farro: Italia, Lenticchie: Germania","Farro precotto 46,7%*, Legumi 30,1% (di cui fagioli cannellini* 33,2%, lenticchie verdi* 22,3%, fagioli borlotti* 22,3%, piselli* 22,3%), Farina di riso*, Fiocco di patata*, Pomodoro disidratato*, Estratto di lievito*, Sale, Carota disidratata*, Aglio disidratato*, Sedano disidratato*, Rosmarino*, *Biologico","Suggerimenti per la conservazione, Conserva il prodotto in luogo fresco e asciutto.","Modalità di preparazione, Versa il contenuto della busta in 800 ml di acqua fredda in una casseruola antiaderente. Porta ad ebollizione. Quando bolle, cuoci per 14 minuti a fuoco basso. Aggiungi un cucchiaio di olio extra vergine di oliva a cottura ultimata.","Energia: 1392 kJ, Grassi: 330 kcal, di cui acidi grassi saturi: 165 kcal, Carboidrati: 1,9 g, di cui zuccheri: 1 g, Fibre: 0,4 g, Proteine: 0,2 g, Sale: 51,3 g", ,1
4,8001120876362, Vellutata ai Porcini e Patate Istantanea 35 g,"La linea dei primi piatti Coop è prodotta secondo le più moderne tecnologie, a partire da materie prime accuratamente selezionate e lavorate. Questo ci consente di proporre ricette che valorizzino il sapore originale degli ingredienti senza conservanti né glutammato monosodico.Senza conservanti, Senza glutammato aggiunto, 1 Porzione, 35g",4.5,COOP, ,http://www.catalogoprodotti.coop.it/medias/7051552-1385355-P.jpeg-300Wx300H?context=bWFzdGVyfHJvb3R8MTkxMzV8aW1hZ2UvanBlZ3xoYmUvaGYzLzg4NDkyNDMzNDA4MzAuanBnfDBmYTM2ZDA4MTViZmU5NzI0OGUwY2Y5MDZjZTFlYWZiOGY0MzJiMzdlNmI4ODAzNjliZDYwMGU3YWY1NzNmODc,,"Farine (37,2 %) (mais 70%, riso 15% e tapioca 15%), Fiocco di patate (37,1%), Panna disidratata, Sale, Funghi porcini liofilizzati e disidratati (3,4%) (Boletus edulis e relativo gruppo), Estratto di lievito, Lattosio, Preparato per brodo vegetale (sale, estratto vegetale (soia), verdure (carota, sedano, cipolla), olio di semi di girasole), Aromi, Prezzemolo disidratato (0,3%), Erba cipollina, Aglio liofilizzato",Conservare in luogo fresco ed asciutto.,"Modalità di preparazione:, Versa a pioggia il contenuto della busta in 350ml di acqua bollente, mescola. Servi.","Energia: 1494 kJ, Grassi: 354 kcal, di cui acidi grassi saturi: 124 kcal, Carboidrati: 4,6 g, di cui zuccheri: 1,6 g, Fibre: 1,7 g, Proteine: 0,6 g, Sale: 67 g", ,1
5,8001120936851, Risotto Zucca e Formaggio 175 g,"La linea dei primi piatti Coop è prodotta secondo le più moderne tecnologie, a partire da materie prime accuratamente selezionate e lavorate. Questo ci consente di proporre ricette che valorizzino il sapore originale degli ingredienti senza conservanti né glutammato monosodico.15 Minuti in pentola, Anche in microonde, Senza conservanti, Senza glutammato aggiunto, Senza olio di palma, 2 Porzioni, 175g",4.8,COOP, ,http://www.catalogoprodotti.coop.it/medias/7211776-1324869-P.jpg-300Wx300H?context=bWFzdGVyfHJvb3R8MTQ5NDJ8aW1hZ2UvanBlZ3xoZTkvaDVlLzg4NjE1MDM0NTUyNjIuanBnfDk2NDcxODJjMDhkMGU2MTE0OGVkNDY3NTE1NDU3ZDkxMzc0YjdjOTBjNDY5YjgyNWNkOWIzMTEzZjYxNDkyNDk,"Formaggio: Germania, Riso: Italia, Zucca: Italia","Riso Ribe parboiled (79,4%), Zucca disidratata (7,4%), Preparato per formaggio in polvere (4,0%) (formaggio, siero di latte, caseinati (latte), sale, aromi), Sale, Farina di riso, Amido di mais, Estratto di lievito, Maltodestrina da patata, Panna disidratata, Aromi, Cipolla disidratata, Vino bianco disidratato, Paprika",Conservare in luogo fresco ed asciutto.,"Modalità di preparazione, In pentola:, Versa il contenuto della busta in una pentola contenente 600ml di acqua fredda., Porta ad ebollizione senza coperchio, mescolando di tanto in tanto., Dal momento dell'ebollizione, cuoci a pentola scoperta per 15/17 minuti. Termina la cottura e aggiungi una noce di burro e/o parmigiano, mescolando bene perchè si amalgami., Nel microonde: Versa il contenuto della busta in un contenitore per microonde con 550 ml di acqua fredda. Porta la potenza del microonde a 900 Watt e cuoci per 17/19 minuti., Un suggerimento per personalizzare la tua ricetta: puoi completare il piatto aggiungendo a piacere una spolverata di noce moscata e di pepe nero macinato.","Energia: 1532 kJ, Grassi: 362 kcal, di cui acidi grassi saturi: 317 kcal, Carboidrati: 1,9 g, di cui zuccheri: 1,7 g, Fibre: 0,8 g, Proteine: 0,7 g, Sale: 75 g", ,1
6,8001120936875, Crema con Funghi Porcini 90 g,"La linea dei primi piatti Coop è prodotta secondo le più moderne tecnologie, a partire da materie prime accuratamente selezionate e lavorate. Questo ci consente di proporre ricette che valorizzino il sapore originale degli ingredienti senza conservanti né glutammato monosodico.Pronta in 3 minuti, Senza glutammato aggiunto, Senza olio di palma, 3 Porzioni, 90g",1.55,COOP, ,http://www.catalogoprodotti.coop.it/medias/7211778-1324885-P.jpg-300Wx300H?context=bWFzdGVyfHJvb3R8MTUwNTV8aW1hZ2UvanBlZ3xoNmIvaGU0Lzg4Njc1OTg5NTg2MjIuanBnfDc1MTI5ZWUwMjJmOWYzODM4MGFmMDJiNjVjYWIwNzM2M2Y3YzRiZmU2YWM3YWE2YTg4ZGExOGJmMTQwNGE5N2E,"Farina di frumento: Italia, Fungo porcino: Cina, Serbia","Farina di riso, Latte scremato in polvere, Farina di grano tenero tipo 0, Maltodestrina di patata, Sale, Panna, Lattosio, Estratto di lievito, Funghi porcini secchi (Boletus edulis e relativo gruppo) (2,0%), Cipolla disidratata, Aromi, Funghi champignon in polvere, Aglio disidratato, Prezzemolo disidratato, Curcuma",Conservare in luogo fresco ed asciutto.,"Modalità di preparazione, Versa il contenuto della busta in una casseruola vuota., Aggiungi lentamente 750ml di acqua fredda stemperando con una frusta. Porta ad ebollizione senza coperchio, mescolando frequentemente., Dal momento dell'ebollizione, cuoci a fuoco moderato e a pentola scoperta per 3 minuti., Se desideri preparare 2 buste assieme metti in una casseruola 1400ml di acqua fredda e segui le stesse modalità di preparazione., Un suggerimento per personalizzare la tua ricetta: puoi completare il piatto aggiungendo a piacere dei crostini di pane e del pepe macinato fresco.","Energia: 1518 kJ, Grassi: 358 kcal, di cui acidi grassi saturi: 108 kcal, Carboidrati: 3,2 g, di cui zuccheri: 1 g, Fibre: 1,3 g, Proteine: 0,4 g, Sale: 67 g", ,1
7,8001120936783, Risotto ai Funghi Porcini 175 g,"La linea dei primi piatti Coop è prodotta secondo le più moderne tecnologie, a partire da materie prime accuratamente selezionate e lavorate. Questo ci consente di proporre ricette che valorizzino il sapore originale degli ingredienti senza conservanti né glutammato monosodico.15 Minuti in pentola, Anche in microonde, Senza conservanti, Senza glutammato aggiunto, Senza olio di palma, 2 Porzioni, 175g",0.95,COOP, ,http://www.catalogoprodotti.coop.it/medias/7211762-1352710-P.jpeg-300Wx300H?context=bWFzdGVyfHJvb3R8MTg0NDV8aW1hZ2UvanBlZ3xoMzAvaDAzLzg4NDAyNjg4MDgyMjIuanBnfDFjNTk5ZGRjNzUyZWNmYTg2MmVmZWYzN2I2M2E4MTljNGEwNzc0ZmJiNTU5MjJhNjNmNTI2NzlmZDAyOTBkMTg,"Fungo porcino: Cina, Serbia, Riso: Italia","Riso Ribe parboiled (81,9%), Maltodestrina di patata, Farina di riso, Funghi porcini secchi (Boletus edulis e relativo gruppo) (2,8%), Amido di mais, Sale, Estratto di lievito, Lattosio, Aromi, Aglio disidratato (0,3%), Prezzemolo disidratato (0,2%), Cipolla disidratata, Curcuma",Conservare in luogo fresco ed asciutto.,"Modalità di preparazione, In pentola:, Versa il contenuto della busta in una pentola contenente 600ml di acqua fredda., Porta ad ebollizione senza coperchio, mescolando di tanto in tanto., Dal momento dell'ebollizione, cuoci a pentola scoperta per 15/17 minuti. Termina la cottura e aggiungi una noce di burro e/o parmigiano, mescolando bene perchè si amalgami., Nel microonde: Versa il contenuto della busta in un contenitore per microonde con 550ml di acqua fredda. Porta la potenza del microonde a 900 Watt e cuoci per 17/19 minuti., Un suggerimento per personalizzare la tua ricetta: puoi completare il piatto aggiungendo a piacere un cucchiaio di panna ed una punta di zafferano oppure un trito di prezzemolo fresco e del pepe nero.","Energia: 1501 kJ, Grassi: 354 kcal, di cui acidi grassi saturi: 310 kcal, Carboidrati: 0,7 g, di cui zuccheri: 0,6 g, Fibre: 0 g, Proteine: 0 g, Sale: 76 g", ,1
8,8001120931573, zuppa cereali e lenticchie Biologica 150 g,"vivi verde, La linea vivi verde Coop comprende i prodotti biologici, sani e genuini grazie a un sistema di produzione che rispetta gli animali e l'ambiente, e prodotti non alimentari ecologici, realizzati con criteri sostenibili e di compatibilità ambientale., La linea Vivi Verde Coop propone zuppe a base di cereali, legumi e verdure preparate con materie prime provenienti esclusivamente da agricoltura biologica. Sono piatti leggeri e gustosi perfetti per chi ama la buona tavola ma può dedicare poco tempo alla cucina, fonte di proteine e di fibre e pertanto adatti anche per chi segue una dieta vegetariana e vegana., Per una dieta vegetariana, Con quinoa, riso rosso e amaranto, - Fonte di proteine, - Ad alto contenuto di fibre, - Senza glutine, 3 Porzioni, Tempo di cottura 14 min, 150g",1.1,VIVI VERDE, ,http://www.catalogoprodotti.coop.it/medias/7234981-1409821-P.jpeg-300Wx300H?context=bWFzdGVyfHJvb3R8MTMyMTd8aW1hZ2UvanBlZ3xoMzQvaGYxLzg4MzI1NTI5NjAwMzAuanBnfDg0Y2QxMjUwNmFiZjIyNDdlMmExNTNiNzFhZDY0YmNiNGIwMTkxZjIyNjVjYTNhYmMxZTEzYmZjZDViOWQyZDc,Riso: Italia,"Cereali 52,7% (di cui quinoa* 43,1%, riso rosso* 40,4%, amaranto* 16,5%), Legumi 18,3% (di cui lenticchie verdi* 50,8%, piselli* 27,3, lenticchie rosse* 21,8%), Fiocco di patata*, Farina di riso*, Pomodoro disidratato*, Estratto di lievito*, Sale, Carota disidratata*, Cipolla disidratata*, Aglio disidratato*, Sedano disidratato*, Rosmarino*, *Biologico","Suggerimenti per la conservazione, Conserva il prodotto in luogo fresco e asciutto.","Modalità di preparazione, Versa il contenuto della busta in 800 ml di acqua fredda in una casseruola antiaderente. Porta ad ebollizione. Quando bolle, cuoci per 14 minuti a fuoco basso. Aggiungi un cucchiaio di olio extra vergine di oliva a cottura ultimata.","Energia: 1465 kJ, Grassi: 347 kcal, di cui acidi grassi saturi: 173 kcal, Carboidrati: 2,3 g, di cui zuccheri: 1,2 g, Fibre: 0,4 g, Proteine: 0,2 g, Sale: 65 g", ,1
9,8001120936776, Preparato per Puré di Patate in Fiocchi 3 x 75 g,"I fiocchi di patate per purè Coop si ottengono della pelatura del tubero, schiacciatura, essiccazione e successiva sfogliatura realizzata mediante dei tamburi cilindrici riscaldati a vapore. Il purè Coop non contiene aromi così potrai apprezzare tutto il gusto naturale delle patate.Pronto in 5 minuti, Senza aromi, Senza olio di palma, 9 Porzioni, 3 Buste, 225g - 3x75g e",1.85,COOP, ,http://www.catalogoprodotti.coop.it/medias/7211760-1316442-P.jpeg-300Wx300H?context=bWFzdGVyfHJvb3R8MTczNDZ8aW1hZ2UvanBlZ3xoNmYvaDZlLzg4NDAzMjQyMTg5MTAuanBnfDMyZWZmNjZlYjY4YzZjMDY0MzYwNWU3YTMxMWExYzIyY2Q2MzgxZmNjNjljZmIzNTI5NzIxZWZkZTUyYzVlNDE,Patata: Germania,"Patate disidratate (99%), Emulsionante: mono e digliceridi degli acidi grassi, Antiossidante: metabisolfito di sodio, Curcuma, Estratto di paprika, SENZA GLUTINE",,"Modalità di preparazione per una busta (per circa 3 persone):, Versa in una casseruola 300 ml di latte e 200 ml di acqua. Aggiungi un pizzico di sale e scalda fino a ebollizione. Togli la casseruola dal fuoco e versa gradatamente il preparato mescolando per pochi minuti. Per rendere il tuo purè ancora più gustoso puoi aggiungere del burro, noce moscata e parmigiano grattugiato., Con una busta da 75 g di prodotto, preparato secondo le modalità indicate, si ottengono circa 500 g di purè equivalenti a 3 porzioni.","Energia: 1492 kJ, Grassi: 352 kcal, di cui acidi grassi saturi: 135 kcal, Carboidrati: 0,6 g, di cui zuccheri: 1,7 g, Fibre: 0,4 g, Proteine: 1 g, Sale: 76 g", ,1
10,8001120936813, Risotto ai Funghi Porcini e Zafferano 175 g,"La linea dei primi piatti Coop è prodotta secondo le più moderne tecnologie, a partire da materie prime accuratamente selezionate e lavorate. Questo ci consente di proporre ricette che valorizzino il sapore originale degli ingredienti senza conservanti né glutammato monosodico.15 Minuti in pentola, Anche in microonde, Senza conservanti, Senza glutammato aggiunto, Senza olio di palma, 2 Porzioni, 175g",0.95,COOP, ,http://www.catalogoprodotti.coop.it/medias/7211769-1324837-P.jpeg-300Wx300H?context=bWFzdGVyfHJvb3R8MTg2MzF8aW1hZ2UvanBlZ3xoYzUvaDBjLzg4NDAyNTcyNzM4ODYuanBnfDY2NGNjZTViNDExYmUwZjQ5MmUwNTg2ZGI3NmI4NDAzM2Q3MzYyNjBkZDIyNjFmNmNlMzkyZmYyYmQzNTQyNmQ,"Fungo porcino: Cina, Serbia, Riso: Italia, Zafferano: Spagna","Riso Ribe parboiled (82,7%), Amido di mais, Farina di riso, Sale, Maltodestrina di patata, Panna disidratata, Estratto di lievito, Funghi porcini secchi (Boletus edulis e relativo gruppo) (1,3%), Preparato per brodo di carne (sale, lattosio, estratto di lievito, zucchero, cipolla, sedano, aglio, estratto di carne), Lattosio, Aromi, Zucchero, Aglio disidratato (0,3%), Prezzemolo disidratato, Cipolla disidratata, Curcuma, Zafferano (0,03%)",Conservare in luogo fresco ed asciutto.,"Modalità di preparazione, In pentola:, Versa il contenuto della busta in una pentola contenente 600ml di acqua fredda., Porta ad ebollizione senza coperchio, mescolando di tanto in tanto., Dal momento dell'ebollizione, cuoci a pentola scoperta per 15/17 minuti. Termina la cottura e aggiungi una noce di burro e/o parmigiano, mescolando bene perchè si amalgami., Nel microonde: Versa il contenuto della busta in un contenitore per microonde con 550ml di acqua fredda. Porta la potenza del microonde a 900 Watt e cuoci per 17/19 minuti., Un suggerimento per personalizzare la tua ricetta: puoi completare il piatto aggiungendo a piacere un cucchiaio di panna e un trito di erba cipollina oppure dei cubetti di speck.","Energia: 1521 kJ, Grassi: 359 kcal, di cui acidi grassi saturi: 314 kcal, Carboidrati: 1 g, di cui zuccheri: 0,9 g, Fibre: 0,4 g, Proteine: 0,4 g, Sale: 77 g", ,1
