id,barcode,name,description,price,brand,amount,image_url,source,ingredients,conservation,preparation,nutrients,discount_id,category_id
171,8001120601896, Salmone norvegese affumicato a caldo all'aneto 125 g,"Il salmone norvegese Coop proviene dal freddo mare di Norvegia. Allevato lungo le coste frastagliate, tra fiordi e profonde insenature, viene selezionato per offrirti un prodotto di qualità, dal gusto delicato e distintivo. Salato e lavorato da fresco, è sottoposto a un lento processo di affumicatura a caldo con legno di faggio, secondo la tradizione. Il salmone norvegese Coop è naturalmente ricco di acidi grassi Omega-3, ideale quindi per una dieta sana e bilanciata. Il delicato aroma di aneto conferisce al salmone un gusto morbido e caratteristico.Naturalmente ricco di acidi grassi Omega 3, Lavorato dal fresco, Affumicato con legno di faggio, Prodotto mai congelato, 125g",4.05,COOP, ,http://www.catalogoprodotti.coop.it/medias/4634414-1921146-P.jpg-300Wx300H?context=bWFzdGVyfHJvb3R8MTAyMzZ8aW1hZ2UvanBlZ3xoYjMvaDFlLzg4ODA2MjExMjU2NjIuanBnfGY2ODk4OTQ3MjEyYzJjN2Y2Y2FlMjI5NmM3YWZlY2FmMGIwMTIwZThkYmE0NGQwYjA4N2Q5ODE2YzYwZDFlNzk,,"Salmone norvegese (Salmo Salar) allevato in Norvegia 98%, Sale, Aneto 0,4%","Prodotto confezionato in atmosfera protettiva. Non forare la confezione., Conserva in frigorifero ad una temperatura da 0°C a + 4°C. Una volta aperta la confezione, consuma il prodotto entro 2 giorni.",Apri la confezione e lascia respirare il prodotto a temperatura ambiente per circa 10 minuti. Servilo al naturale o con alcuni riccioli di burro.,"Energia: 951 kJ, Grassi: 15,4 g, di cui acidi grassi saturi: 2,2 g, di cui monoinsaturi: 8 g, di cui polinsaturi: 5,2 g, Carboidrati: 0 g, di cui zuccheri: 0 g, Fibre: 0 g, Proteine: 22 g, Sale: 1,5 g, Omega 3: 2,6 g", ,4
172,8001120597267, Piadina Romagnola IGP alla Riminese 600 g,"La Piadina Romagnolo IGP alla Riminese Coop è preparata utilizzando ingredienti semplici. L'accurata cottura consente di mantenere inalterata tutta la sua morbidezza.Indicazione Geografica Protetta, 5 Piadine da 120g l'una, 600g",4.0,COOP, ,http://www.catalogoprodotti.coop.it/medias/4541678-1910511-P.jpg-300Wx300H?context=bWFzdGVyfHJvb3R8MTI3NzB8aW1hZ2UvanBlZ3xoMTIvaDRmLzg4Nzk2MDk4NzI0MTQuanBnfDQyMzg3Y2FlYzgzOGMxMjQwZTVkMzg0YzQ0OWZlNjdmOWE1ZmU4ZjlkNGMzZTlmNGU4NTRlZjIyNjY2MWU5NjI,"Farina di frumento: Italia, Austria, Francia, Germania, Romania, Strutto: Italia","Farina di grano tenero tipo 00, Acqua, Strutto, Sale, Agenti lievitanti: (difosfato disodico, bicarbonato di sodio, amido di frumento), Può contenere soia","Confezionato in atmosfera protettiva. Non forare la confezione., Conserva in frigorifero tra +4°C e +6°C., Il prodotto, una volta aperta la confezione, deve essere conservato in frigorifero e consumato entro 2-3 giorni.","Suggerimenti per l'uso - Metti sul fuoco una padella antiaderente senza ungerla. Quando è ben calda fai scaldare la piadina per 1 minuto, girandola da entrambi i lati. Non scaldarla troppo per evitare che si secchi. Servila calda, farcita con salumi, formaggi, stracchino e rucola, verdure di stagione o qualsiasi ingrediente ti suggerisca la tua fantasia. La piadina può essere proposta come valida alternativa al pane.","Energia: 1431 kJ, Grassi: 340 kcal, di cui acidi grassi saturi: 408 kcal, Carboidrati: 11 g, di cui zuccheri: 13 g, Fibre: 4,4 g, Proteine: 5,3 g, Sale: 52 g", ,4
173,8001120902344, Pesto Genovese 1 kg,"fior fiore, Il Meglio della Cultura Gastronomica, Nuova ricetta, 1kg",0.35,FIOR FIORE, ,http://www.catalogoprodotti.coop.it/medias/7508811-1565153-P.jpeg-300Wx300H?context=bWFzdGVyfHJvb3R8MTM5NTF8aW1hZ2UvanBlZ3xoNmYvaDY5Lzg4NDcxMDU4NTE0MjIuanBnfDk3YjNmYzk5ZjRiYWM2MGU3N2U1ZGRlMzUyOTIxZmZhNmIyNWQ4ZjNjZWExZmU1ZWM2Yjk0NTcwY2JlZjE5ZTI,"Basilico: Italia, Olio extra vergine di oliva: Italia","Olio extravergine di oliva 51%, Basilico Genovese DOP 25%, Parmigiano Reggiano DOP (latte, sale, caglio), Grana Padano DOP (latte, sale, caglio, conservante: lisozima da uovo), Pinoli, Noci, Sale, Pecorino Romano DOP (latte di pecora, sale, caglio), Aglio, Antiossidante: acido ascorbico, Correttore di acidità: acido citrico, Può contenere tracce di: altra frutta a guscio, sedano e pesce, SENZA GLUTINE",Vedi indicazioni riportate sull’etichetta del prodotto.,"Suggerimenti per l'uso, Versa il pesto ancora freddo in una terrina, aggiungi un cucchiaio dell'acqua della pasta e mescola insieme alla pasta cotta e scolata. Prima di servire puoi guarnire il piatto con qualche fogliolina di basilico fresco e pinoli., La pasta che meglio si abbina a questo tipo di sugo sono le trofie, pasta tipica della Liguria, linguine, trenette e bavette.","Energia: 2399 kJ, Grassi: 60 g, di cui acidi grassi saturi: 9,2 g, Carboidrati: 0,7 g, di cui zuccheri: 0 g, Fibre: 1,4 g, Proteine: 9,8 g, Sale: 2,1 g", ,4
174,8001120601889, Salmone norvegese affumicato a caldo al naturale 125 g,"Il salmone norvegese Coop proviene dal freddo mare di Norvegia. Allevato lungo le coste frastagliate, tra fiordi e profonde insenature, viene selezionato per offrirti un prodotto di qualità, dal gusto delicato e distintivo. Salato e lavorato da fresco, è sottoposto a un lento processo di affumicatura a caldo con legno di faggio, secondo la tradizione. Il salmone norvegese Coop è naturalmente ricco di acidi grassi Omega-3, ideale quindi per una dieta sana e bilanciata.Naturalmente ricco di acidi grassi Omega 3, Lavorato dal fresco, Affumicato con legno di faggio, Prodotto mai congelato, 125g",2.85,COOP, ,http://www.catalogoprodotti.coop.it/medias/4634412-1921147-P.jpg-300Wx300H?context=bWFzdGVyfHJvb3R8OTM4MHxpbWFnZS9qcGVnfGgxNS9oNGEvODg4MDYyMDYwMTM3NC5qcGd8ZTNmNzgyZjM2YTZkZWUwYzJiM2Y5MzYyNWQ4OWRhYzBiYjM0ZTg1MjczYzUxOTMzMTk5ZWFiY2JlYzA5YTc0Mg,,"Salmone norvegese (Salmo Salar) allevato in Norvegia 98%    , Sale","Prodotto confezionato in atmosfera protettiva. Non forare la confezione., Conserva in frigorifero ad una temperatura da 0°C a + 4°C. Una volta aperta la confezione, consuma il prodotto entro 2 giorni.",Apri la confezione e lascia respirare il prodotto a temperatura ambiente per circa 10 minuti. Servilo al naturale o con alcuni riccioli di burro.,"Energia: 954 kJ, Grassi: 15,2 g, di cui acidi grassi saturi: 2,1 g, di cui monoinsaturi: 8,6 g, di cui polinsaturi: 4,5 g, Carboidrati: 0 g, di cui zuccheri: 0 g, Fibre: 0 g, Proteine: 23 g, Sale: 1,6 g, Omega 3: 2,1 g", ,4
175,8001120833525, falafel vegetali Biologici 2 x 80 g,"Falafel vegetali vivi verde CoopI falafel vegetali vivi verde Coop portano sulla tua tavola una gustosa alternativa alle pietanze di carne: appetitosi e facili da preparare sono fonte di fibre. Nutrienti e gustosi, sono realizzati con ingredienti biologici e senza l'utilizzo di aromi. I falafel sono una tipica pietanza mediorientale, a base di legumi. Si accompagnano in genere a hummus, yogurt o salsa a base di sesamo.Come smaltire le calorie in eccesso? Ad esempio 7 minuti di corsa equivalgono a circa 100 kcal.vivi verde, La linea vivi verde Coop comprende i prodotti biologici, sani e genuini grazie a un sistema di produzione che rispetta gli animali e l'ambiente, e prodotti non alimentari ecologici, realizzati con criteri sostenibili e di compatibilità ambientale., Per una dieta vegetariana, Fonte di fibre, 2 Porzioni, 160g e 2x80g",2.35,VIVI VERDE, ,http://www.catalogoprodotti.coop.it/medias/7574185-1622390-P.jpeg-300Wx300H?context=bWFzdGVyfHJvb3R8MTMyMzd8aW1hZ2UvanBlZ3xoNGYvaDczLzg4NDkyMTgyNDA1NDIuanBnfGVhZjNiMjEyYmM0NjNiZTA0ODgwNDE5NmYxZmEwNzliMzQ2NTI1YzkyNTZlZGM3NjM1Y2I1ODgyMmUwM2RhZDI,"Cece: Italia, Francia, Farina di soia: Italia, Austria, Francia","Farina di soia* ristrutturata e reidratata 38%, Ceci* 19%, Farina di grano* tenero tipo 0, Olio di semi di girasole* 9%, Cipolle*, Farina di ceci* 4%, Glutine di grano*, Amido di tapioca*, Prezzemolo*, Sale, Aglio*, Estratto di lievito, Fibra di avena*, Preparato per brodo vegetale* [sale, farina di riso*, amido di mais*, ortaggi disidratati* in proporzione variabile (cipolla*, sedano*, carota*, prezzemolo*, porro*), miso (soia*, riso*, acqua, sale, koji), estratto di lievito, olio extravergine di oliva*, spezie*], Spezie*, Piante aromatiche*, Lievito di birra, Può contenere tracce di uova, sesamo e senape, *Biologici , IL PRODOTTO NON CONTIENE PROTEINE DI ORIGINE ANIMALE","Modalità di conservazione, Conservare in frigorifero ad una temperatura compresa tra 0°C e + 4°C. Una volta aperta, la confezione deve essere consumata entro 2 giorni. Prodotto confezionato in atmosfera protettiva. Non forare la confezione., Da consumarsi previa cottura.","Suggerimenti per l'uso, In padella: cuocere in padella con coperchio, con un filo di olio extravergine, a fuoco lento per 10 minuti, avendo cura di rigirarli spesso., In forno: metti i falafel direttamente in forno preriscaldato a 180° per 8 minuti. , In microonde: togliere il prodotto dalla confezione e cuocere a 750 W per 2 minuti.","Energia: 961 kJ, Grassi: 230 kcal, di cui acidi grassi saturi: 184 kcal, Carboidrati: 11 g, di cui zuccheri: 8,5 g, Fibre: 1,4 g, Proteine: 1,1 g, Sale: 17 g", ,4
176,8001120821300, Salmone selvaggio d'Alaska Sockeye Affumicato 100 g,"Coop ti propone il salmone selvaggio affumicato fior fiore dal sapore unico e inconfondibile, per aggiungere prelibatezza ai tuoi momenti più speciali.Il salmone sockeye non viene allevato, ma pescato allo stato selvaggio nel rispetto dell'ecosistema marino, utilizzando sistemi di pesca tradizionali che assicurano il normale ciclo riproduttivo della specie. Il salmone fior fiore Coop proviene dalle fredde e pulite acque dell'Oceano Pacifico settentrionale, dove cresce fino all'età adulta seguendo il suo ciclo naturale, nutrendosi esclusivamente di organismi marini che gli donano il caratteristico e intenso colore rosso. Una volta pescato, il salmone viene sottoposto ad una salatura a secco e ad una lenta affumicatura con legno di faggio, che conferiscono al prodotto quel gusto e profumo inconfondibili e al contempo permettono di conservare il prodotto senza l'aggiunta di aromi o altri additivi.Il salmone affumicato è ricco di Omega 3 (acidi grassi polinsaturi).fior fiore, Il Meglio della Cultura Gastronomica, 100g",2.1,FIOR FIORE, ,http://www.catalogoprodotti.coop.it/medias/6633789-1330758-P.jpg-300Wx300H?context=bWFzdGVyfHJvb3R8MTE0NjN8aW1hZ2UvanBlZ3xoM2YvaGI4Lzg4NzgzMzAyODIwMTQuanBnfDZhNzA3ZTBlOTQ5ODI0ZDNlMGY3NzM3Y2QxZTYwYzI5MmJkYjM4NDMwNmZhNTIwNzc1NjExOTBhMmZiNmMzN2E,Salmone: Oceano pacifico,"Salmone rosso (Oncorhynchus nerka), Sale, Zucchero","Modalità di conservazione, Conservare in frigorifero ad una temperatura da 0° a +4°C., Una volta aperta la confezione, consuma il prodotto entro 2 giorni.","Suggerimenti per l'uso, Per gustare meglio il salmone affumicato Coop, toglilo dal frigorifero 15 minuti prima di consumarlo. Servilo come antipasto con una fetta di pane tostato e un ricciolo di burro o marinato con olio, limone e pepe. Il salmone affumicato Coop si presta ad essere utilizzato anche come ingrediente nella preparazione di primi piatti e di sfiziosi antipasti.","Energia: 495 kJ, Grassi: 117 kcal, di cui acidi grassi saturi: 59 kcal, di cui monoinsaturi: 2,4 g, di cui polinsaturi: 1,2 g, Carboidrati: 0 g, di cui zuccheri: 0 g, Fibre: 1,3 g, Proteine: 0,7 g, Sale: 0,6 g", ,4
177,8001120832375, Salmone Norvegese Affumicato con legno di Faggio 100 g,"Coop ha selezionato per te i più pregiati salmoni norvegesi, allevati nelle fredde e profondissime acque dei fiordi, salati a mano ed affumicati, secondo l'antica tradizione nordica, con i migliori legni di faggio. Lavorato da materia prima fresca, il salmone norvegese Coop è ricco di acidi grassi Omega-3 ed è il prodotto ideale da inserire nella tua alimentazione per seguire una dieta bilanciata.Affumicato con legno di Faggio, Ricco di acidi grassi Omega 3, 2 Porzioni, 100g",3.95,COOP, ,http://www.catalogoprodotti.coop.it/medias/7569849-1721856-P.jpg-300Wx300H?context=bWFzdGVyfHJvb3R8MTI4ODR8aW1hZ2UvanBlZ3xoYWUvaDI2Lzg4NzE0MjM5MDE3MjYuanBnfGI3M2FkNTY5OTM0NWM0NzY0Y2ViNzVmYzNkODk3YjgyMWIwZGQ2ZWZjYTkyODA2N2NlMGY2ZWI1ZTkzYzFlYzA,Salmone: Norvegia,"Salmone norvegese (Salmo salar) 97% - allevato in Norvegia, Sale","Modalità di conservazione, Conservare in frigorifero ad una temperatura compresa tra 0°C e +4°C. Una volta aperta, la confezione deve essere consumata entro 2 giorni.","Suggerimenti per la preparazione, Togliere il prodotto dal frigo 15 minuti prima del consumo.","Energia: 823 kJ, Grassi: 197 kcal, di cui acidi grassi saturi: 99 kcal, di cui monoinsaturi: 13 g, di cui polinsaturi: 6,5 g, Carboidrati: 2 g, di cui zuccheri: 1 g, Fibre: 4,3 g, Proteine: 2,1 g, Sale: 3 g", ,4
178,8001120902351, Pesto Genovese Senza Aglio 1 kg,"fior fiore, Il Meglio della Cultura Gastronomica, Nuova ricetta, 1kg",4.2,FIOR FIORE, ,http://www.catalogoprodotti.coop.it/medias/7508812-1565154-P.jpeg-300Wx300H?context=bWFzdGVyfHJvb3R8MTQ1MTJ8aW1hZ2UvanBlZ3xoYTYvaDAwLzg4NDcxMDYzNzU3MTAuanBnfGFhYjkyMGEzNWMzOGY0MDE4MTYzNzVkMzZjM2FjYzFhYjk4NmE0NjkxYjE3ZTg4YjljZWM2NWM4NTI3MTFhOWQ,"Basilico: Italia, Olio extra vergine di oliva: Italia","Olio extravergine di oliva 51%, Basilico Genovese DOP 25%, Parmigiano Reggiano DOP (latte, sale, caglio), Grana Padano DOP (latte, sale, caglio, conservante: lisozima da uovo), Pinoli, Noci, Sale, Pecorino Romano DOP (latte di pecora, sale, caglio), Antiossidante: acido ascorbico, Correttore di acidità: acido citrico, Può contenere tracce di: altra frutta a guscio, sedano e pesce, SENZA GLUTINE",Vedi indicazioni riportate sull’etichetta del prodotto.,"Suggerimenti per l'uso, Versa il pesto ancora freddo in una terrina, aggiungi un cucchiaio dell'acqua della pasta e mescola insieme alla pasta cotta e scolata. Prima di servire puoi guarnire il piatto con qualche fogliolina di basilico fresco e pinoli., La pasta che meglio si abbina a questo tipo di sugo sono le trofie, pasta tipica della Liguria, linguine, trenette e bavette.","Energia: 2399 kJ, Grassi: 60 g, di cui acidi grassi saturi: 9,2 g, Carboidrati: 0,7 g, di cui zuccheri: 0 g, Fibre: 1,4 g, Proteine: 9,8 g, Sale: 2,1 g", ,4
179,8001120833518, cotolette vegetali Biologiche 2 x 100 g,"Cotolette vegetali vivi verde CoopLe cotolette vegetali vivi verde Coop portano sulla tua tavola una gustosa alternativa alle pietanze di carne: appetitose e facili da preparare sono fonte di proteine. Nutrienti e gustose, sono realizzate con ingredienti biologici e senza l'utilizzo di aromi.Come smaltire le calorie in eccesso? Ad esempio 7 minuti di corsa equivalgono a circa 100 kcal.vivi verde, La linea vivi verde Coop comprende i prodotti biologici, sani e genuini grazie a un sistema di produzione che rispetta gli animali e l'ambiente, e prodotti non alimentari ecologici, realizzati con criteri sostenibili e di compatibilità ambientale., Per una dieta vegetariana, Fonte di proteine, 2 Porzioni, 200g e 2x100g",0.9,VIVI VERDE, ,http://www.catalogoprodotti.coop.it/medias/7574183-1622389-P.jpeg-300Wx300H?context=bWFzdGVyfHJvb3R8MTI4MDh8aW1hZ2UvanBlZ3xoMjgvaDM5Lzg4NDkyMjI0MzQ4NDYuanBnfDFmOWM2Y2E4YTM2YTA1YWZhNzJkMzIzZDYxMzYwNGYzMzExOWNlMmJkMmVmMzFmYzA5MzY4NzFhM2Q4MzUzZTQ,"Farina di soia: Italia, Austria, Francia","Tofu* 41% (acqua, soia*, cloruro di magnesio), Panatura (farina di grano* tenero, acqua, farina di mais*, amido di grano*, lievito di birra, sale, paprika*, agenti lievitanti: carbonato acido di sodio e monocalcio fosfato), Farina di soia* ristrutturata e reidratata, Olio di semi di girasole* 8%, Farina di grano* tenero tipo 0, Amido di tapioca*, Cipolla*, Fibra di avena*, Preparato per brodo vegetale* [sale, farina di riso*, amido di mais*, ortaggi disidratati* in proporzione variabile (cipolla*, sedano*, carota*, prezzemolo*, porro*), miso (soia*, riso*, acqua, sale, koji), estratto di lievito, olio extravergine di oliva*, spezie*], Estratto di lievito, Salsa di soia* [soia*, acqua, sale, shochu (acqua, riso*, sale, koji)], Sale, Aglio*, Addensanti: gomma di xanthano e farina di semi di carrube, Lievito di birra, Può contenere tracce di uovo, sesamo e senape, *Biologici , IL PRODOTTO NON CONTIENE PROTEINE DI ORIGINE ANIMALE","Modalità di conservazione, Conservare in frigorifero ad una temperatura compresa tra 0°C e + 4°C. Una volta aperta, la confezione deve essere consumata entro 2 giorni. Prodotto confezionato in atmosfera protettiva., Non forare la confezione., Da consumarsi previa cottura.","Suggerimenti per l'uso, In padella: cuocere in padella con un filo di olio extravergine di oliva, a fuoco medio per 6 minuti, girando a metà cottura., In forno: metti le cotolette direttamente in forno preriscaldato a 180° C e cuocere per 6 minuti.","Energia: 1069 kJ, Grassi: 12 g, di cui acidi grassi saturi: 1,5 g, Carboidrati: 22 g, di cui zuccheri: 0,6 g, Fibre: 2,9 g, Proteine: 13 g, Sale: 1 g", ,4
180,8001120882011, Tonno a pinne gialle affumicato 100 g,"Il tonno affumicato Fior Fiore Coop è ideale per aggiungere gusto e raffinatezza alla tua tavola, rendendo speciale anche un giorno qualsiasi. Viene lavorato secondo la tradizione mediterranea, a freddo, senza l'utilizzo di conservanti, coloranti e aromi, così da apprezzare al meglio il sapore prelibato e il caratteristico colore bruno. La materia prima di alta qualità, tonno a pinne gialle, è selezionata manualmente, la salagione viene applicata a secco e l'affumicamento avviene lentamente, con fumo di legni di faggio. Il gusto proprio del pesce non viene coperto dal sale nè dal fumo, che al contrario ne condiscono e ingentiliscono i sapori forti. Il tonno contiene Omega 3 ed è un alimento ad elevato contenuto proteico.Scopri il sapore del mare gustando i prodotti della linea affumicati Fior Fiore Coop.Coop aderisce al programma internazionale Dalla Parte dei Delfini per cui, attraverso controlli rigorosi e continuativi, viene verificata la sostenibilità ambientale delle tecniche di pesca. Ciò si traduce nell'abolizione di tecniche che hanno comportato negli anni elevatissime catture di altre specie marine tra cui i delfiniCome smaltire le calore in eccesso?Ad esempio 7 minuti di corsa equivalgono a circa 100 kcal.fior fiore, Il Meglio della Cultura Gastronomica, Prodotto soggetto a calo peso naturale., 0,100kg",5.0,FIOR FIORE, ,http://www.catalogoprodotti.coop.it/medias/6613228-1274826-P.pngf-300Wx300H?context=bWFzdGVyfHJvb3R8MTEzMjZ8aW1hZ2UvanBlZ3xoM2YvaDJkLzg4MDk5NTk5NDgzMTguanBnfDU2NGFiOTFlMjMwZjQ2ZTBiZTZjYWFhMzk2NTEyYzRlY2Y4ZTI2MzczZTU5NWU0MzUxOTUyZDllYmYwMWZkOTM,,"Tonno a pinne gialle (Thunnus albacares), Sale, Zucchero di canna, Fumo naturale di legno di faggio","Modalità di conservazione, Conservare in frigorifero ad una temperatura da 0° a +4°C., Una volta aperta la confezione, consumare il prodotto entro 2 giorni.","Suggerimenti per l'uso, Per gustare al meglio il tonno affumicato Coop togli la confezione dal frigorifero e aprila 15 minuti prima di consumarla. Servilo come antipasto con una fetta di pane tostato e un ricciolo di burro o leggermente marinato con olio, limone e pepe. Il tonno affumicato Coop si presta ad essere utilizzato anche come ingrediente nella preparazione di primi piatti e sfiziosi antipasti.","Energia: 493 kJ, Grassi: 116 kcal, di cui acidi grassi saturi: 58 kcal, Carboidrati: 0,5 g, di cui zuccheri: 0,3 g, Fibre: 0,2 g, Proteine: 0,1 g, Sale: 0,3 g", ,4
